X,date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
8691,Fri  01 Mar 2013 21:45:05 +0000,93,374,0,positive,0,Twitter for BlackBerry??,BlackBerry,1567,Android,peaceman_721,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
8693,Fri  01 Mar 2013 21:45:58 +0000,594,275,0,positive,0,Twitter for BlackBerry??,BlackBerry,15530,Android,fr3sh_ish,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
8694,Fri  01 Mar 2013 21:46:30 +0000,1081,802,4,neutral,0,Twitter for BlackBerry??,BlackBerry,11594,Android,enisexy21,Tell em"@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
8709,Fri  01 Mar 2013 21:48:37 +0000,92,138,1,neutral,0,Twitter for BlackBerry??,BlackBerry,766,Android,chinkichun,Lol "@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
8710,Fri  01 Mar 2013 21:48:39 +0000,177,217,0,positive,0,Twitter for BlackBerry??,BlackBerry,4374,Android,Major0235,Tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
8743,Fri  01 Mar 2013 21:55:16 +0000,209,321,0,positive,0,Twitter for BlackBerry??,BlackBerry,2246,Android,SpiderExpert,@notadroneirl im a real human being who appreciates your spidertweet by the way  not no spider hunting robot android
8751,Fri  01 Mar 2013 21:57:04 +0000,1914,1919,60,positive,0,Twitter for BlackBerry??,BlackBerry,39779,Android,Abdul10_MUFC,Wow Samsung won their case against Apple I see. $1BN is a lot of money. Moving forward  Apple or Android?
8768,Fri  01 Mar 2013 21:59:46 +0000,325,319,0,neutral,0,Twitter for BlackBerry??,BlackBerry,15198,Android,RShabrina,More saving~ buy android soon..
8784,Fri  01 Mar 2013 22:03:52 +0000,729,560,0,positive,0,Twitter for BlackBerry??,BlackBerry,18352,Android,Imran_Imlayhat,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
8823,Fri  01 Mar 2013 22:12:30 +0000,81,78,0,neutral,0,Twitter for BlackBerry??,BlackBerry,3784,Android,dibby_tiffy,@Shavii_Android oh ok
8846,Fri  01 Mar 2013 22:16:45 +0000,45,91,0,positive,0,Twitter for BlackBerry??,BlackBerry,1121,Android,berbatee22,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
8856,Fri  01 Mar 2013 22:18:58 +0000,15,83,0,positive,0,Twitter for BlackBerry??,BlackBerry,2041,Android,osiraj,@ZHidayatullah recommend u stick with Android browser. The Jelly Bean web browser built in  is the best.
8948,Fri  01 Mar 2013 22:42:12 +0000,371,274,0,negative,0,Twitter for BlackBerry??,BlackBerry,5869,Android,KeepZeeFree,Can't wait till I get my android soon  can't be dealing with shitberry any longer
8992,Fri  01 Mar 2013 22:52:53 +0000,1009,24,0,neutral,0,Twitter for BlackBerry??,BlackBerry,614,Android,Ikz27,@SaminaBibi27 I use a cheat app too  but its only on android and its unlimited hehe :P btw  check yur fne x
8997,Fri  01 Mar 2013 22:53:46 +0000,322,309,1,positive,0,Twitter for BlackBerry??,BlackBerry,2620,Android,kuteniva214,U r tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
9088,Fri  01 Mar 2013 23:16:47 +0000,47,108,0,neutral,0,Twitter for BlackBerry??,BlackBerry,76,Android,arrumdwia,Workshop Android "Make It Easy With PhonegpGap" @ukmpcc
9116,Fri  01 Mar 2013 23:24:41 +0000,521,268,0,positive,0,Twitter for BlackBerry??,BlackBerry,9419,Android,deeboii01,Girls out here be shaped like the android mascot O.O
9163,Fri  01 Mar 2013 23:37:48 +0000,35,182,0,neutral,0,Twitter for BlackBerry??,BlackBerry,676,Android,khaylasabrina,LOL  it's truly funny to hear my own voice while sleeping. "Sleep talk recorder app" on android market.. :D
12595,Fri  01 Mar 2013 18:46:12 +0000,349,291,0,neutral,0,UberSocial for BlackBerry,BlackBerry,17080,Android,Da_bomb89,Ur money come oo RT @freddiePBS: Back on Android
12602,Fri  01 Mar 2013 18:58:21 +0000,164,340,2,neutral,0,UberSocial for BlackBerry,BlackBerry,2313,Android,Eve_SN,#Forever now FREE limited time http://t.co/UKvLuKMJwD  Kobo Reading App free on iPad &amp; Android  check it out! #Vampires #ParanormalRomance
12637,Fri  01 Mar 2013 20:04:01 +0000,803,680,3,neutral,0,UberSocial for BlackBerry,BlackBerry,12445,Android,Uzzy_JFM,*take Mic* RT @iTs_OverXposed: time to run android files on this bb10
12643,Fri  01 Mar 2013 20:10:07 +0000,185,137,0,positive,0,UberSocial for BlackBerry,BlackBerry,13398,Android,4Ls2Ns1A,Android is the new ish
12646,Fri  01 Mar 2013 20:10:30 +0000,185,137,0,positive,0,UberSocial for BlackBerry,BlackBerry,13399,Android,4Ls2Ns1A,Moving to android as soon as I can comfortably afford it
12649,Fri  01 Mar 2013 20:13:01 +0000,493,305,1,neutral,0,UberSocial for BlackBerry,BlackBerry,24418,Android,woo_really_care,But the bb10 is awesome RT @4Ls2Ns1A: Android is the new ish
12650,Fri  01 Mar 2013 20:16:49 +0000,185,137,0,neutral,0,UberSocial for BlackBerry,BlackBerry,13403,Android,4Ls2Ns1A,That's what they say about every new BB RT @woo_really_care: But the bb10 is awesome RT @4Ls2Ns1A: Android is the new ish
12658,Fri  01 Mar 2013 20:26:38 +0000,165,341,2,positive,0,UberSocial for BlackBerry,BlackBerry,2315,Android,Eve_SN,#Forever FREE limited time on http://t.co/UKvLuKMJwD Kobo Reading App free on iPad &amp; Android  so check it out!#ForeverSeries #Vampires
12662,Fri  01 Mar 2013 20:34:51 +0000,87,610,0,neutral,0,UberSocial for BlackBerry,BlackBerry,420,Android,phil87_,Thanks a lot RT @jadejewel101: @phil87_  A message for you. PinQuotes Android App http://t.co/kLXDiA2rkB
12695,Fri  01 Mar 2013 21:42:19 +0000,332,518,1,positive,0,UberSocial for BlackBerry,BlackBerry,9496,Android,adelaw01,( '.') RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
12696,Fri  01 Mar 2013 21:42:34 +0000,763,1007,2,neutral,0,UberSocial for BlackBerry,BlackBerry,26848,Android,LoDdaDon,#Word #Preach RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
12697,Fri  01 Mar 2013 21:45:13 +0000,225,335,1,positive,0,UberSocial for BlackBerry,BlackBerry,1970,Android,Daobee_Uzoma,RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
12698,Fri  01 Mar 2013 21:45:32 +0000,1021,424,3,positive,0,UberSocial for BlackBerry,BlackBerry,29050,Android,xoubaedah,RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
12700,Fri  01 Mar 2013 21:48:05 +0000,194,224,0,positive,0,UberSocial for BlackBerry,BlackBerry,2667,Android,marshal1050,RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
12701,Fri  01 Mar 2013 21:49:11 +0000,472,210,0,positive,0,UberSocial for BlackBerry,BlackBerry,17669,Android,TeemaMaigana,RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
12709,Fri  01 Mar 2013 21:54:40 +0000,30473,925,734,neutral,0,UberSocial for BlackBerry,BlackBerry,25481,Android,mstracylee,#doit RT @johnalessio79: Im thinking about get rid of my Android smartphone &amp; going back to a pager ....... ... http://t.co/32kF8ET86f
12719,Fri  01 Mar 2013 22:16:36 +0000,710,336,6,positive,0,UberSocial for BlackBerry,BlackBerry,122561,Android,JustinSuave,"UberSocial For Android" what an asshole :(
12720,Fri  01 Mar 2013 22:21:58 +0000,710,336,6,neutral,0,UberSocial for BlackBerry,BlackBerry,122566,Android,JustinSuave,Lol your bundles will run out an you'll be back on your bb RT @Thube_lihle: :-) RT JustinSuave "UberSocial For Android" what an asshole :(
12721,Fri  01 Mar 2013 22:28:53 +0000,282,244,0,neutral,0,UberSocial for BlackBerry,BlackBerry,39240,Android,Super_Beavs,200$ deal !!!!!! RT @DwannieD: Android phone for sale....if your interested Dm me
12729,Fri  01 Mar 2013 23:12:00 +0000,2926,770,16,positive,0,UberSocial for BlackBerry,BlackBerry,100283,Android,TheLionMint,@msafara_ that's what I was thinking. I miss a few android twitter clients
12731,Fri  01 Mar 2013 23:14:08 +0000,80,133,0,neutral,0,UberSocial for BlackBerry,BlackBerry,4054,Android,fredierror,Lu android black? RT @bimr_: Wow she's fuckin cute... let me know your name please
12738,Fri  01 Mar 2013 23:39:20 +0000,66,162,0,neutral,0,UberSocial for BlackBerry,BlackBerry,372,Android,Siwisusan,Early Bird@Centro Galaxy 2-3 March 13 Disc up to 50% 5X Points win prizes up to 54 juta:Android Tab 7.0 &amp; ... http://t.co/tp7VbszhPh
14874,Fri  01 Mar 2013 21:47:24 +0000,263,250,0,neutral,0,A.plus for BlackBerry,BlackBerry,13746,Android,kentm8,Bet wetin consine us? RT @Azendahh: RT @LoDdaDon: #Word #Preach RT @LaughorYawn: Your tweeting VIA ANDROID ... http://t.co/lDSYjEGz3o
18670,Fri  01 Mar 2013 21:12:16 +0000,770,583,4,positive,0,NewsForward for BlackBerry,BlackBerry,30043,Android,MduzaVanGogh,@LBangBangBoogie @JustinSuave go for android bro...the best OS in the game and its open source
18671,Fri  01 Mar 2013 21:12:16 +0000,770,583,4,positive,0,NewsForward for BlackBerry,BlackBerry,30037,Android,MduzaVanGogh,@LBangBangBoogie @JustinSuave go for android bro...the best OS in the game and its open source
20654,Fri  01 Mar 2013 21:40:43 +0000,1296,984,3,neutral,0,"Tower Heist Takeover, BlackBerry",BlackBerry,57694,Android,The_Dp_Thief,Nd That's How 15k killed My android dream sha! *sigh*
23173,Fri  01 Mar 2013 19:22:28 +0000,91,101,2,positive,0,Twitter for BlackBerry,BlackBerry,1696,Android,aasifshabbir,Paging all disgruntled iSheeps/android users. http://t.co/U3FjCq3JkV
23228,Fri  01 Mar 2013 21:06:30 +0000,260,264,1,positive,0,Twitter for BlackBerry,BlackBerry,12186,Android,_Papi_92,Android News Feed. The application with all your favorite sites. https://t.co/isOLrN6f2o
23264,Fri  01 Mar 2013 22:12:26 +0000,154,96,6,positive,0,Twitter for BlackBerry,BlackBerry,5660,Android,paulgarner,A week on with the Z10 and Playbook. Z10 surprises me everyday with how good it is and how little I miss Android. Everything's so easy.
23306,Fri  01 Mar 2013 18:15:20 +0000,79,231,0,positive,0,Twitter for BlackBerry??,BlackBerry,5965,Android,BOBODESIRES,Apple (AAPL) Mobile OS Market Share Slips in U.S. as Android (GOOG) Gains
23435,Fri  01 Mar 2013 19:16:09 +0000,160,144,0,neutral,0,Twitter for BlackBerry??,BlackBerry,4433,Android,Holdsy_OneLove,Gettin one of those smartphones! Listening to @qbgh going  #android!
23501,Fri  01 Mar 2013 19:32:27 +0000,1864,1276,6,positive,0,Twitter for BlackBerry??,BlackBerry,10524,Android,FiezaHlim,Tweeting via android is much better than bb.
23523,Fri  01 Mar 2013 19:35:52 +0000,864,1107,3,positive,0,Twitter for BlackBerry??,BlackBerry,10235,Android,jcfunk_skamilla,@Cylon2013 Thanks Man you Rock just like an android haha!
23568,Fri  01 Mar 2013 19:56:47 +0000,71,53,0,positive,0,Twitter for BlackBerry??,BlackBerry,771,Android,aseembakshi,@vibhurishi there's a small company called apple that might disagree with your analysis that all phones are android :)
23605,Fri  01 Mar 2013 20:04:30 +0000,805,245,34,positive,0,Twitter for BlackBerry??,BlackBerry,110047,Android,MissaLov3,@OnceUponAFan just downloaded your app on my android  and I love it!
23611,Fri  01 Mar 2013 20:05:39 +0000,203,304,0,neutral,0,Twitter for BlackBerry??,BlackBerry,3785,Android,MEHcockyLonger,Android Life
23626,Fri  01 Mar 2013 20:09:20 +0000,1472,618,1,neutral,0,Twitter for BlackBerry??,BlackBerry,16593,Android,Thelifeofchuma,Must u open his secret? @Thompson__BCP: U were NT on BB before !"@FXCKIKYZS: Android phones are damn annoying gat to go bk to bb.
23646,Fri  01 Mar 2013 20:12:36 +0000,1147,1142,0,positive,0,Twitter for BlackBerry??,BlackBerry,5410,Android,FantaLemonHoe,I need a good game on android any recommendations?
23701,Fri  01 Mar 2013 20:25:38 +0000,2523,615,103,positive,0,Twitter for BlackBerry??,BlackBerry,19111,Android,arzleb,I love #Ubuntu mobile fast and battery is better then android.
23796,Fri  01 Mar 2013 20:53:32 +0000,325,319,0,positive,0,Twitter for BlackBerry??,BlackBerry,15174,Android,RShabrina,@H_isnotonfire ahh... My ktalk isn't effective bcs it's used in blckberry == better in android
23848,Fri  01 Mar 2013 21:05:55 +0000,370,351,0,neutral,0,Twitter for BlackBerry??,BlackBerry,2206,Android,GentrySegun,Kk would check it out.. Wanna geh a wifi router nxt week "@ainathegreat: @GentrySegun download subway surfers cool android game"
23850,Fri  01 Mar 2013 21:06:27 +0000,45,41,0,positive,0,Twitter for BlackBerry??,BlackBerry,1297,Android,mrmbash,The most secure Android phone in the world (maybe) http://t.co/dMsQndYcOX
23859,Fri  01 Mar 2013 21:08:41 +0000,466,440,0,positive,0,Twitter for BlackBerry??,BlackBerry,9475,Android,msafara_,This Android app .. Swiftkey. Is the best keyboard for any  Android device
23864,Fri  01 Mar 2013 21:09:33 +0000,466,440,0,positive,0,Twitter for BlackBerry??,BlackBerry,9476,Android,msafara_,Soon you can upgrade that Galaxy Nexus to the latest version of android
23976,Fri  01 Mar 2013 21:41:09 +0000,41,61,0,positive,0,Twitter for BlackBerry??,BlackBerry,2984,Android,s2sandhu,IF THEY SET THAT ANDROID FREE IT WILL BE THE END OF ALL OF US!!! NOOOOOOOOOOOOOOOOO!
23979,Fri  01 Mar 2013 21:41:28 +0000,968,907,2,neutral,0,Twitter for BlackBerry??,BlackBerry,40949,Android,Wizzle_Bee,"@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
23981,Fri  01 Mar 2013 21:42:19 +0000,218,205,0,neutral,0,Twitter for BlackBerry??,BlackBerry,5551,Android,Ayflitz,"@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
23991,Fri  01 Mar 2013 21:43:21 +0000,176,304,1,neutral,0,Twitter for BlackBerry??,BlackBerry,6150,Android,ivan1BARON,"@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
23995,Fri  01 Mar 2013 21:43:45 +0000,137,345,0,positive,0,Twitter for BlackBerry??,BlackBerry,4214,Android,Aceballer1,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
23997,Fri  01 Mar 2013 21:43:52 +0000,381,349,1,neutral,0,Twitter for BlackBerry??,BlackBerry,3079,Android,Oseholic,:s "@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
24009,Fri  01 Mar 2013 21:45:05 +0000,93,374,0,positive,0,Twitter for BlackBerry??,BlackBerry,1567,Android,peaceman_721,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
24011,Fri  01 Mar 2013 21:45:58 +0000,594,275,0,positive,0,Twitter for BlackBerry??,BlackBerry,15530,Android,fr3sh_ish,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
24012,Fri  01 Mar 2013 21:46:30 +0000,1081,802,4,neutral,0,Twitter for BlackBerry??,BlackBerry,11594,Android,enisexy21,Tell em"@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
24027,Fri  01 Mar 2013 21:48:37 +0000,92,138,1,neutral,0,Twitter for BlackBerry??,BlackBerry,766,Android,chinkichun,Lol "@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA"
24028,Fri  01 Mar 2013 21:48:39 +0000,177,217,0,positive,0,Twitter for BlackBerry??,BlackBerry,4374,Android,Major0235,Tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
24063,Fri  01 Mar 2013 21:55:16 +0000,209,321,0,positive,0,Twitter for BlackBerry??,BlackBerry,2246,Android,SpiderExpert,@notadroneirl im a real human being who appreciates your spidertweet by the way  not no spider hunting robot android
24073,Fri  01 Mar 2013 21:57:04 +0000,1914,1919,60,positive,0,Twitter for BlackBerry??,BlackBerry,39779,Android,Abdul10_MUFC,Wow Samsung won their case against Apple I see. $1BN is a lot of money. Moving forward  Apple or Android?
24091,Fri  01 Mar 2013 21:59:46 +0000,325,319,0,neutral,0,Twitter for BlackBerry??,BlackBerry,15198,Android,RShabrina,More saving~ buy android soon..
24107,Fri  01 Mar 2013 22:03:52 +0000,729,560,0,positive,0,Twitter for BlackBerry??,BlackBerry,18352,Android,Imran_Imlayhat,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
