[tt0105211]  [$4,651,977 ]  
[tt0770721]  []  
[tt0103838]  [$583,979 ]  
[tt0102713]  [$74,787,599]  
[tt0102492]  [$59,847,242]  
[tt0105691]  [$221,295 ]  
[tt0102122]  []  
[tt0101889]  [$41,895,491]  
[tt0103957]  []  
[tt0102782]  [$2,807,854 ]  
[tt0101507]  [$57,504,069]  
[tt0102116]  [$191,125 ]  
[tt0102469]  [$19,018,321]  
[tt0207931]  []  
[tt0099077]  [$52,096,475]  
[tt0101518]  []  
[tt0100258]  [$5,835,247 ]  
[tt0100395]  [$37,963,281]  
[tt0099582]  [$61,490,000]  
[tt1707386]  [$148,775,460]  
[tt2584678]  []  
[tt2584662]  []  
[tt2584658]  []  
[tt1194173]  [$113,203,870]  
[tt1637725]  [$218,815,480]  
[tt1735898]  [$155,136,750]  
[tt1195478]  [$28,700,285]  
[tt1605630]  [$56,724,080]  
[tt1440129]  [$65,233,400]  
[tt1482459]  [$213,949,500]  
[tt1599348]  [$126,373,430]  
[tt1430615]  [$19,966,230]  
[tt1524137]  [$66,528,000]  
[tt2190239]  []  
[tt2190431]  []  
[tt0471042]  [$78,009,155]  
[tt0905372]  [$16,928,670]  
[tt1634122]  [$8,269,105 ]  
[tt1488555]  [$37,081,475]  
[tt0409847]  [$100,240,550]  
[tt1583420]  [$35,565,975]  
[tt1657283]  []  
[tt1478338]  [$169,106,720]  
[tt1596343]  [$209,837,670]  
[tt1240982]  [$21,596,445]  
[tt1411704]  [$108,012,170]  
[tt1385826]  [$62,495,645]  
[tt1830493]  []  
[tt1092026]  [$37,371,385]  
[tt0881320]  [$23,070,045]  
[tt1578275]  [$48,430,355]  
[tt1688659]  []  
[tt0970866]  [$148,383,780]  
[tt1814643]  []  
[tt1830633]  []  
[tt1830748]  []  
[tt2343610]  []  
[tt1424432]  [$1,586,652 ]  
[tt1438254]  [$31,162,545]  
[tt0446029]  [$31,494,270]  
[tt1323594]  [$251,513,98]  
[tt1226229]  [$60,923,325]  
[tt0955308]  [$105,269,730]  
[tt1415283]  [$28,995,450]  
[tt1053424]  [$13,794,835]  
[tt0947810]  [$35,024,475]  
[tt0780653]  [$61,937,495]  
[tt1216492]  [$12,561 ]  
[tt1230414]  [$112,703,470]  
[tt1220198]  [$25,360,255]  
[tt0450405]  [$13,698,390]  
[tt1078940]  [$109,176,210]  
[tt0899106]  [$22,783,960]  
[tt1201167]  [$51,855,045]  
[tt0889583]  [$59,992,760]  
[tt1152836]  [$97,104,620]  
[tt0457400]  [$49,392,095]  
[tt0361748]  [$120,540,710]  
[tt0821642]  [$31,670,931]  
[tt0473705]  [$37,017,955]  
[tt1218336]  []  
[tt1131729]  [$7,913,976 ]  
[tt1308172]  []  
[tt1127180]  [$42,057,340]  
[tt1013752]  [$155,064,260]  
[tt1135487]  [$40,559,930]  
[tt0420238]  [$50,818,750]  
[tt1308163]  []  
[tt1648157]  []  
[tt0430922]  [$67,294,270]  
[tt0870111]  [$18,593,156]  
[tt1054588]  [$3,744,790 ]  
[tt0452608]  [$36,064,910]  
[tt1483825]  []  
[tt1483838]  []  
[tt1104123]  []  
[tt1024255]  []  
[tt0859163]  [$102,491,770]  
[tt0795421]  [$144,130,060]  
[tt0411477]  [$75,754,670]  
[tt0493464]  [$332,816 ]  
[tt0800080]  [$134,518,390]  
[tt1677520]  []  
[tt0379865]  [$31,199,215]  
[tt0800039]  [$62,877,175]  
[tt0494652]  [$42,436,517]  
[tt0832266]  [$31,973,840]  
[tt1262132]  []  
[tt0972785]  []  
[tt0974959]  []  
[tt0472062]  [$66,636,385]  
[tt1164544]  []  
[tt0765429]  [$130,127,620]  
[tt0414055]  [$16,264,475]  
[tt0783233]  [$50,921,738]  
[tt0431197]  [$47,536,778]  
[tt0440963]  [$227,471,070]  
[tt0762107]  [$119,684,970]  
[tt0413099]  [$100,289,690]  
[tt0435528]  []  
[tt0453451]  [$32,553,210]  
[tt0455760]  [$16,809,076]  
[tt0478311]  [$148,734,220]  
[tt0401997]  [$32,791,865]  
[tt0425112]  [$23,618,786]  
[tt0490084]  [$42,674,040]  
[tt0343737]  [$59,901,040]  
[tt0475394]  [$35,662,731]  
[tt0457939]  [$63,224,849]  
[tt0482374]  []  
[tt0483726]  [$37,442,180]  
