series_id,year,period,value
JTU51009900JOL   ,2012,M02,169
JTU51009900JOL   ,2012,M03,234
JTU51009900JOL   ,2012,M04,242
JTU51009900JOL   ,2012,M05,228
JTU51009900JOL   ,2012,M06,230
JTU51009900JOL   ,2012,M07,249
JTU51009900JOL   ,2012,M08,260
JTU51009900JOL   ,2012,M09,280
JTU51009900JOL   ,2012,M10,287
JTU51009900JOL   ,2012,M11,215
JTU51009900JOL   ,2012,M12,233
JTU51009900JOL   ,2013,M01,255
JTU51009900JOL   ,2013,M02,305
JTU52000000JOL   ,2010,M01,171
JTU52000000JOL   ,2010,M02,112
JTU52000000JOL   ,2010,M03,133
JTU52000000JOL   ,2010,M04,209
JTU52000000JOL   ,2010,M05,171
JTU52000000JOL   ,2010,M06,153
JTU52000000JOL   ,2010,M07,198
JTU52000000JOL   ,2010,M08,175
JTU52000000JOL   ,2010,M09,194
JTU52000000JOL   ,2010,M10,229
JTU52000000JOL   ,2010,M11,191
JTU52000000JOL   ,2010,M12,162
JTU52000000JOL   ,2011,M01,235
JTU52000000JOL   ,2011,M02,151
JTU52000000JOL   ,2011,M03,170
JTU52000000JOL   ,2011,M04,179
JTU52000000JOL   ,2011,M05,147
JTU52000000JOL   ,2011,M06,176
JTU52000000JOL   ,2011,M07,168
JTU52000000JOL   ,2011,M08,135
JTU52000000JOL   ,2011,M09,144
JTU52000000JOL   ,2011,M10,172
JTU52000000JOL   ,2011,M11,120
JTU52000000JOL   ,2011,M12,149
JTU52000000JOL   ,2012,M01,174
JTU52000000JOL   ,2012,M02,123
JTU52000000JOL   ,2012,M03,189
JTU52000000JOL   ,2012,M04,195
JTU52000000JOL   ,2012,M05,171
JTU52000000JOL   ,2012,M06,176
JTU52000000JOL   ,2012,M07,177
JTU52000000JOL   ,2012,M08,201
JTU52000000JOL   ,2012,M09,219
JTU52000000JOL   ,2012,M10,225
JTU52000000JOL   ,2012,M11,174
JTU52000000JOL   ,2012,M12,170
JTU52000000JOL   ,2013,M01,179
JTU52000000JOL   ,2013,M02,244
JTU54009900JOL   ,2010,M01,499
JTU54009900JOL   ,2010,M02,384
JTU54009900JOL   ,2010,M03,373
JTU54009900JOL   ,2010,M04,545
JTU54009900JOL   ,2010,M05,548
JTU54009900JOL   ,2010,M06,449
JTU54009900JOL   ,2010,M07,551
JTU54009900JOL   ,2010,M08,606
JTU54009900JOL   ,2010,M09,550
JTU54009900JOL   ,2010,M10,648
JTU54009900JOL   ,2010,M11,651
JTU54009900JOL   ,2010,M12,541
JTU54009900JOL   ,2011,M01,544
JTU54009900JOL   ,2011,M02,580
JTU54009900JOL   ,2011,M03,569
JTU54009900JOL   ,2011,M04,582
JTU54009900JOL   ,2011,M05,537
JTU54009900JOL   ,2011,M06,582
JTU54009900JOL   ,2011,M07,716
JTU54009900JOL   ,2011,M08,606
JTU54009900JOL   ,2011,M09,696
JTU54009900JOL   ,2011,M10,643
JTU54009900JOL   ,2011,M11,456
JTU54009900JOL   ,2011,M12,556
JTU54009900JOL   ,2012,M01,789
JTU54009900JOL   ,2012,M02,640
JTU54009900JOL   ,2012,M03,758
JTU54009900JOL   ,2012,M04,692
JTU54009900JOL   ,2012,M05,731
JTU54009900JOL   ,2012,M06,716
JTU54009900JOL   ,2012,M07,665
JTU54009900JOL   ,2012,M08,729
JTU54009900JOL   ,2012,M09,599
JTU54009900JOL   ,2012,M10,709
JTU54009900JOL   ,2012,M11,582
JTU54009900JOL   ,2012,M12,505
JTU54009900JOL   ,2013,M01,800
JTU54009900JOL   ,2013,M02,708
