OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN,occ_major
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41,"85,690",detail
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41,"64,300",detail
41-9000,Other Sales and Related Workers,41,"42,670",detail
41-9010,"Models, Demonstrators, and Product Promoters",41,"28,060",detail
41-9011,Demonstrators and Product Promoters,41,"28,180",detail
41-9012,Models,41,"26,110",detail
41-9020,Real Estate Brokers and Sales Agents,41,"57,210",detail
41-9021,Real Estate Brokers,41,"80,220",detail
41-9022,Real Estate Sales Agents,41,"51,930",detail
41-9030,Sales Engineers,41,"99,290",detail
41-9040,Telemarketers,41,"25,570",detail
41-9090,Miscellaneous Sales and Related Workers,41,"33,160",detail
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41,"26,380",detail
41-9099,"Sales and Related Workers, All Other",41,"33,510",detail
43-0000,Office and Administrative Support Occupations,43,"34,410",major
43-1000,Supervisors of Office and Administrative Support Workers,43,"52,830",detail
43-1010,First-Line Supervisors of Office and Administrative Support Workers,43,"52,830",detail
43-2000,Communications Equipment Operators,43,"27,760",detail
43-2010,"Switchboard Operators, Including Answering Service",43,"26,860",detail
43-2020,Telephone Operators,43,"34,670",detail
43-2090,Miscellaneous Communications Equipment Operators,43,"41,530",detail
43-2099,"Communications Equipment Operators, All Other",43,"41,530",detail
43-3000,Financial Clerks,43,"34,420",detail
43-3010,Bill and Account Collectors,43,"34,320",detail
43-3020,Billing and Posting Clerks,43,"34,540",detail
43-3030,"Bookkeeping, Accounting, and Auditing Clerks",43,"36,640",detail
43-3040,Gaming Cage Workers,43,"26,070",detail
43-3050,Payroll and Timekeeping Clerks,43,"38,880",detail
43-3060,Procurement Clerks,43,"38,340",detail
43-3070,Tellers,43,"25,790",detail
43-3090,Miscellaneous Financial Clerks,43,"39,580",detail
43-3099,"Financial Clerks, All Other",43,"39,580",detail
43-4000,Information and Record Clerks,43,"31,940",detail
43-4010,Brokerage Clerks,43,"44,390",detail
43-4020,Correspondence Clerks,43,"36,920",detail
43-4030,"Court, Municipal, and License Clerks",43,"36,950",detail
43-4040,"Credit Authorizers, Checkers, and Clerks",43,"35,680",detail
43-4050,Customer Service Representatives,43,"33,110",detail
43-4060,"Eligibility Interviewers, Government Programs",43,"41,060",detail
43-4070,File Clerks,43,"28,030",detail
43-4080,"Hotel, Motel, and Resort Desk Clerks",43,"21,960",detail
43-4110,"Interviewers, Except Eligibility and Loan",43,"31,270",detail
43-4120,"Library Assistants, Clerical",43,"25,680",detail
43-4130,Loan Interviewers and Clerks,43,"36,180",detail
43-4140,New Accounts Clerks,43,"32,950",detail
43-4150,Order Clerks,43,"31,280",detail
43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",43,"38,340",detail
43-4170,Receptionists and Information Clerks,43,"27,050",detail
43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,43,"33,580",detail
43-4190,Miscellaneous Information and Record Clerks,43,"37,750",detail
43-4199,"Information and Record Clerks, All Other",43,"37,750",detail
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",43,"32,310",detail
43-5010,Cargo and Freight Agents,43,"42,310",detail
43-5020,Couriers and Messengers,43,"27,020",detail
43-5030,Dispatchers,43,"38,300",detail
43-5031,"Police, Fire, and Ambulance Dispatchers",43,"38,010",detail
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",43,"38,450",detail
43-5040,"Meter Readers, Utilities",43,"38,510",detail
43-5050,Postal Service Workers,43,"51,070",detail
43-5051,Postal Service Clerks,43,"50,460",detail
43-5052,Postal Service Mail Carriers,43,"52,220",detail
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43,"48,750",detail
43-5060,"Production, Planning, and Expediting Clerks",43,"45,450",detail
43-5070,"Shipping, Receiving, and Traffic Clerks",43,"30,700",detail
43-5080,Stock Clerks and Order Fillers,43,"24,440",detail
43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43,"29,750",detail
43-6010,Secretaries and Administrative Assistants,43,"37,780",detail
43-6011,Executive Secretaries and Executive Administrative Assistants,43,"50,220",detail
43-6012,Legal Secretaries,43,"44,380",detail
43-6013,Medical Secretaries,43,"32,670",detail
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43,"33,560",detail
43-9000,Other Office and Administrative Support Workers,43,"30,410",detail
43-9010,Computer Operators,43,"39,720",detail
43-9020,Data Entry and Information Processing Workers,43,"31,430",detail
43-9021,Data Entry Keyers,43,"29,220",detail
43-9022,Word Processors and Typists,43,"36,190",detail
43-9030,Desktop Publishers,43,"39,040",detail
43-9040,Insurance Claims and Policy Processing Clerks,43,"37,300",detail
43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service",43,"28,140",detail
43-9060,"Office Clerks, General",43,"29,270",detail
43-9070,"Office Machine Operators, Except Computer",43,"29,580",detail
43-9080,Proofreaders and Copy Markers,43,"35,110",detail
43-9110,Statistical Assistants,43,"41,010",detail
43-9190,Miscellaneous Office and Administrative Support Workers,43,"33,070",detail
43-9199,"Office and Administrative Support Workers, All Other",43,"33,070",detail
45-0000,"Farming, Fishing, and Forestry Occupations",45,"24,230",major
45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",45,"46,410",detail
45-1010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45,"46,410",detail
45-2000,Agricultural Workers,45,"21,920",detail
45-2010,Agricultural Inspectors,45,"42,460",detail
45-2020,Animal Breeders,45,"37,230",detail
45-2040,"Graders and Sorters, Agricultural Products",45,"20,870",detail
45-2090,Miscellaneous Agricultural Workers,45,"21,080",detail
45-2091,Agricultural Equipment Operators,45,"27,390",detail
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45,"19,990",detail
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",45,"24,040",detail
45-2099,"Agricultural Workers, All Other",45,"29,120",detail
45-3000,Fishing and Hunting Workers,45,"37,410",detail
45-3010,Fishers and Related Fishing Workers,45,"36,900",detail
45-4000,"Forest, Conservation, and Logging Workers",45,"33,910",detail
45-4010,Forest and Conservation Workers,45,"28,600",detail
45-4020,Logging Workers,45,"35,140",detail
45-4021,Fallers,45,"40,860",detail
45-4022,Logging Equipment Operators,45,"34,130",detail
45-4023,Log Graders and Scalers,45,"33,540",detail
45-4029,"Logging Workers, All Other",45,"34,650",detail
47-0000,Construction and Extraction Occupations,47,"44,960",major
47-1000,Supervisors of Construction and Extraction Workers,47,"63,230",detail
47-1010,First-Line Supervisors of Construction Trades and Extraction Workers,47,"63,230",detail
47-2000,Construction Trades Workers,47,"43,860",detail
47-2010,Boilermakers,47,"55,830",detail
47-2020,"Brickmasons, Blockmasons, and Stonemasons",47,"48,670",detail
47-2021,Brickmasons and Blockmasons,47,"50,370",detail
47-2022,Stonemasons,47,"40,120",detail
47-2030,Carpenters,47,"44,520",detail
47-2040,"Carpet, Floor, and Tile Installers and Finishers",47,"40,590",detail
47-2041,Carpet Installers,47,"40,930",detail
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47,"38,450",detail
47-2043,Floor Sanders and Finishers,47,"35,640",detail
47-2044,Tile and Marble Setters,47,"41,820",detail
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",47,"39,930",detail
47-2051,Cement Masons and Concrete Finishers,47,"39,870",detail
47-2053,Terrazzo Workers and Finishers,47,"42,440",detail
47-2060,Construction Laborers,47,"34,490",detail
47-2070,Construction Equipment Operators,47,"45,510",detail
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",47,"40,170",detail
47-2072,Pile-Driver Operators,47,"55,480",detail
47-2073,Operating Engineers and Other Construction Equipment Operators,47,"46,270",detail
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",47,"43,660",detail
47-2081,Drywall and Ceiling Tile Installers,47,"42,380",detail
47-2082,Tapers,47,"49,940",detail
47-2110,Electricians,47,"53,030",detail
47-2120,Glaziers,47,"42,090",detail
47-2130,Insulation Workers,47,"41,000",detail
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",47,"36,390",detail
47-2132,"Insulation Workers, Mechanical",47,"44,680",detail
47-2140,Painters and Paperhangers,47,"38,590",detail
47-2141,"Painters, Construction and Maintenance",47,"38,590",detail
47-2142,Paperhangers,47,"38,630",detail
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",47,"51,480",detail
47-2151,Pipelayers,47,"39,970",detail
47-2152,"Plumbers, Pipefitters, and Steamfitters",47,"52,950",detail
47-2160,Plasterers and Stucco Masons,47,"41,860",detail
47-2170,Reinforcing Iron and Rebar Workers,47,"51,140",detail
47-2180,Roofers,47,"38,760",detail
47-2210,Sheet Metal Workers,47,"46,870",detail
47-2220,Structural Iron and Steel Workers,47,"50,740",detail
47-2230,Solar Photovoltaic Installers,47,"40,620",detail
47-3000,"Helpers, Construction Trades",47,"28,230",detail
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47,"31,100",detail
47-3012,Helpers--Carpenters,47,"27,230",detail
47-3013,Helpers--Electricians,47,"28,840",detail
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47,"26,360",detail
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47,"28,380",detail
47-3016,Helpers--Roofers,47,"25,030",detail
47-3019,"Helpers, Construction Trades, All Other",47,"27,420",detail
47-4000,Other Construction and Related Workers,47,"43,540",detail
47-4010,Construction and Building Inspectors,47,"55,230",detail
47-4020,Elevator Installers and Repairers,47,"74,140",detail
47-4030,Fence Erectors,47,"32,410",detail
47-4040,Hazardous Materials Removal Workers,47,"41,660",detail
47-4050,Highway Maintenance Workers,47,"36,240",detail
47-4060,Rail-Track Laying and Maintenance Equipment Operators,47,"46,200",detail
47-4070,Septic Tank Servicers and Sewer Pipe Cleaners,47,"35,970",detail
47-4090,Miscellaneous Construction and Related Workers,47,"38,260",detail
47-4091,Segmental Pavers,47,"35,740",detail
47-4099,"Construction and Related Workers, All Other",47,"38,380",detail
47-5000,Extraction Workers,47,"44,010",detail
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining",47,"49,960",detail
47-5011,"Derrick Operators, Oil and Gas",47,"48,740",detail
47-5012,"Rotary Drill Operators, Oil and Gas",47,"56,540",detail
47-5013,"Service Unit Operators, Oil, Gas, and Mining",47,"47,540",detail
47-5020,"Earth Drillers, Except Oil and Gas",47,"43,840",detail
47-5030,"Explosives Workers, Ordnance Handling Experts, and Blasters",47,"49,380",detail
47-5040,Mining Machine Operators,47,"49,120",detail
47-5041,Continuous Mining Machine Operators,47,"50,940",detail
47-5042,Mine Cutting and Channeling Machine Operators,47,"46,540",detail
47-5049,"Mining Machine Operators, All Other",47,"46,590",detail
47-5050,"Rock Splitters, Quarry",47,"33,870",detail
47-5060,"Roof Bolters, Mining",47,"54,240",detail
47-5070,"Roustabouts, Oil and Gas",47,"35,800",detail
47-5080,Helpers--Extraction Workers,47,"33,660",detail
47-5090,Miscellaneous Extraction Workers,47,"39,710",detail
47-5099,"Extraction Workers, All Other",47,"39,710",detail
49-0000,"Installation, Maintenance, and Repair Occupations",49,"43,870",major
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",49,"62,540",detail
49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers",49,"62,540",detail
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",49,"48,280",detail
49-2010,"Computer, Automated Teller, and Office Machine Repairers",49,"38,550",detail
49-2011,"Computer, Automated Teller, and Office Machine Repairers",49,"38,550",detail
49-2020,Radio and Telecommunications Equipment Installers and Repairers,49,"53,180",detail
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",49,"46,260",detail
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",49,"53,710",detail
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",49,"48,310",detail
49-2091,Avionics Technicians,49,"55,440",detail
49-2092,"Electric Motor, Power Tool, and Related Repairers",49,"38,470",detail
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",49,"52,850",detail
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49,"52,940",detail
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49,"67,380",detail
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",49,"33,600",detail
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,49,"36,940",detail
49-2098,Security and Fire Alarm Systems Installers,49,"43,210",detail
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",49,"40,780",detail
49-3010,Aircraft Mechanics and Service Technicians,49,"55,690",detail
49-3011,Aircraft Mechanics and Service Technicians,49,"55,690",detail
49-3020,Automotive Technicians and Repairers,49,"39,460",detail
49-3021,Automotive Body and Related Repairers,49,"41,840",detail
49-3022,Automotive Glass Installers and Repairers,49,"33,580",detail
49-3023,Automotive Service Technicians and Mechanics,49,"39,060",detail
49-3030,Bus and Truck Mechanics and Diesel Engine Specialists,49,"43,660",detail
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,49,"44,780",detail
49-3041,Farm Equipment Mechanics and Service Technicians,49,"35,680",detail
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",49,"47,140",detail
49-3043,Rail Car Repairers,49,"47,430",detail
49-3050,Small Engine Mechanics,49,"34,190",detail
49-3051,Motorboat Mechanics and Service Technicians,49,"37,140",detail
49-3052,Motorcycle Mechanics,49,"34,910",detail
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,49,"31,820",detail
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",49,"26,410",detail
49-3091,Bicycle Repairers,49,"25,250",detail
49-3092,Recreational Vehicle Service Technicians,49,"36,120",detail
49-3093,Tire Repairers and Changers,49,"25,440",detail
49-9000,"Other Installation, Maintenance, and Repair Occupations",49,"41,600",detail
49-9010,Control and Valve Installers and Repairers,49,"48,180",detail
49-9011,Mechanical Door Repairers,49,"38,590",detail
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",49,"51,930",detail
49-9020,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49,"45,830",detail
49-9030,Home Appliance Repairers,49,"37,270",detail
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",49,"47,500",detail
49-9041,Industrial Machinery Mechanics,49,"48,690",detail
49-9043,"Maintenance Workers, Machinery",49,"42,190",detail
49-9044,Millwrights,49,"50,730",detail
49-9045,"Refractory Materials Repairers, Except Brickmasons",49,"41,870",detail
49-9050,Line Installers and Repairers,49,"56,670",detail
49-9051,Electrical Power-Line Installers and Repairers,49,"62,280",detail
49-9052,Telecommunications Line Installers and Repairers,49,"51,920",detail
49-9060,Precision Instrument and Equipment Repairers,49,"45,960",detail
49-9061,Camera and Photographic Equipment Repairers,49,"41,750",detail
49-9062,Medical Equipment Repairers,49,"46,910",detail
49-9063,Musical Instrument Repairers and Tuners,49,"33,620",detail
49-9064,Watch Repairers,49,"39,570",detail
49-9069,"Precision Instrument and Equipment Repairers, All Other",49,"52,880",detail
49-9070,"Maintenance and Repair Workers, General",49,"37,190",detail
49-9080,Wind Turbine Service Technicians,49,"48,320",detail
49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",49,"34,690",detail
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",49,"32,700",detail
49-9092,Commercial Divers,49,"54,750",detail
49-9093,"Fabric Menders, Except Garment",49,"28,540",detail
49-9094,Locksmiths and Safe Repairers,49,"39,160",detail
49-9095,Manufactured Building and Mobile Home Installers,49,"30,160",detail
49-9096,Riggers,49,"44,590",detail
49-9097,Signal and Track Switch Repairers,49,"55,390",detail
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",49,"26,780",detail
49-9099,"Installation, Maintenance, and Repair Workers, All Other",49,"39,410",detail
51-0000,Production Occupations,51,"34,500",major
51-1000,Supervisors of Production Workers,51,"57,420",detail
51-1010,First-Line Supervisors of Production and Operating Workers,51,"57,420",detail
51-2000,Assemblers and Fabricators,51,"30,970",detail
51-2010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51,"48,520",detail
51-2020,"Electrical, Electronics, and Electromechanical Assemblers",51,"31,400",detail
51-2021,"Coil Winders, Tapers, and Finishers",51,"32,000",detail
51-2022,Electrical and Electronic Equipment Assemblers,51,"30,970",detail
51-2023,Electromechanical Equipment Assemblers,51,"32,950",detail
51-2030,Engine and Other Machine Assemblers,51,"37,730",detail
51-2040,Structural Metal Fabricators and Fitters,51,"37,260",detail
51-2090,Miscellaneous Assemblers and Fabricators,51,"29,730",detail
51-2091,Fiberglass Laminators and Fabricators,51,"29,960",detail
51-2092,Team Assemblers,51,"29,910",detail
51-2093,Timing Device Assemblers and Adjusters,51,"29,080",detail
51-2099,"Assemblers and Fabricators, All Other",51,"29,070",detail
51-3000,Food Processing Workers,51,"26,380",detail
51-3010,Bakers,51,"25,060",detail
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",51,"26,230",detail
51-3021,Butchers and Meat Cutters,51,"30,000",detail
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",51,"23,690",detail
51-3023,Slaughterers and Meat Packers,51,"24,930",detail
51-3090,Miscellaneous Food Processing Workers,51,"27,750",detail
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51,"29,580",detail
51-3092,Food Batchmakers,51,"28,340",detail
51-3093,Food Cooking Machine Operators and Tenders,51,"28,090",detail
51-3099,"Food Processing Workers, All Other",51,"24,880",detail
51-4000,Metal Workers and Plastic Workers,51,"37,190",detail
51-4010,Computer Control Programmers and Operators,51,"38,550",detail
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",51,"36,810",detail
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51,"48,640",detail
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",51,"35,300",detail
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51,"34,060",detail
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51,"34,830",detail
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51,"38,160",detail
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",51,"32,980",detail
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51,"31,090",detail
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51,"36,020",detail
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51,"33,070",detail
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51,"37,600",detail
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51,"37,460",detail
51-4040,Machinists,51,"40,860",detail
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",51,"38,590",detail
51-4051,Metal-Refining Furnace Operators and Tenders,51,"40,060",detail
51-4052,"Pourers and Casters, Metal",51,"35,750",detail
51-4060,"Model Makers and Patternmakers, Metal and Plastic",51,"45,470",detail
51-4061,"Model Makers, Metal and Plastic",51,"46,970",detail
51-4062,"Patternmakers, Metal and Plastic",51,"43,400",detail
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",51,"30,510",detail
51-4071,Foundry Mold and Coremakers,51,"31,600",detail
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51,"30,400",detail
51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51,"35,060",detail
51-4110,Tool and Die Makers,51,"48,490",detail
51-4120,"Welding, Soldering, and Brazing Workers",51,"38,100",detail
51-4121,"Welders, Cutters, Solderers, and Brazers",51,"38,410",detail
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51,"36,060",detail
51-4190,Miscellaneous Metal Workers and Plastic Workers,51,"34,820",detail
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51,"35,380",detail
51-4192,"Layout Workers, Metal and Plastic",51,"42,330",detail
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51,"31,830",detail
51-4194,"Tool Grinders, Filers, and Sharpeners",51,"35,560",detail
51-4199,"Metal Workers and Plastic Workers, All Other",51,"34,280",detail
51-5100,Printing Workers,51,"35,640",detail
51-5111,Prepress Technicians and Workers,51,"39,020",detail
51-5112,Printing Press Operators,51,"36,090",detail
51-5113,Print Binding and Finishing Workers,51,"31,560",detail
51-6000,"Textile, Apparel, and Furnishings Workers",51,"24,170",detail
51-6010,Laundry and Dry-Cleaning Workers,51,"21,540",detail
51-6020,"Pressers, Textile, Garment, and Related Materials",51,"20,730",detail
51-6030,Sewing Machine Operators,51,"23,110",detail
51-6040,Shoe and Leather Workers,51,"25,880",detail
51-6041,Shoe and Leather Workers and Repairers,51,"26,050",detail
51-6042,Shoe Machine Operators and Tenders,51,"25,600",detail
51-6050,"Tailors, Dressmakers, and Sewers",51,"28,480",detail
51-6051,"Sewers, Hand",51,"25,390",detail
51-6052,"Tailors, Dressmakers, and Custom Sewers",51,"29,170",detail
51-6060,"Textile Machine Setters, Operators, and Tenders",51,"26,080",detail
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,51,"25,520",detail
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",51,"25,460",detail
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51,"26,950",detail
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51,"26,010",detail
51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",51,"32,710",detail
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51,"32,750",detail
51-6092,Fabric and Apparel Patternmakers,51,"44,790",detail
51-6093,Upholsterers,51,"31,750",detail
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",51,"28,970",detail
51-7000,Woodworkers,51,"30,140",detail
51-7010,Cabinetmakers and Bench Carpenters,51,"32,940",detail
51-7020,Furniture Finishers,51,"29,900",detail
51-7030,"Model Makers and Patternmakers, Wood",51,"35,250",detail
51-7031,"Model Makers, Wood",51,"31,740",detail
51-7032,"Patternmakers, Wood",51,"41,030",detail
51-7040,"Woodworking Machine Setters, Operators, and Tenders",51,"27,870",detail
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",51,"27,520",detail
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51,"28,100",detail
51-7090,Miscellaneous Woodworkers,51,"30,150",detail
51-7099,"Woodworkers, All Other",51,"30,150",detail
51-8000,Plant and System Operators,51,"54,690",detail
51-8010,"Power Plant Operators, Distributors, and Dispatchers",51,"68,050",detail
51-8011,Nuclear Power Reactor Operators,51,"76,020",detail
51-8012,Power Distributors and Dispatchers,51,"73,710",detail
51-8013,Power Plant Operators,51,"65,080",detail
51-8020,Stationary Engineers and Boiler Operators,51,"54,860",detail
51-8030,Water and Wastewater Treatment Plant and System Operators,51,"44,630",detail
51-8090,Miscellaneous Plant and System Operators,51,"57,430",detail
51-8091,Chemical Plant and System Operators,51,"54,150",detail
51-8092,Gas Plant Operators,51,"61,090",detail
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51,"60,730",detail
51-8099,"Plant and System Operators, All Other",51,"52,660",detail
51-9000,Other Production Occupations,51,"32,100",detail
51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",51,"44,720",detail
51-9011,Chemical Equipment Operators and Tenders,51,"47,950",detail
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51,"40,340",detail
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",51,"33,870",detail
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51,"33,340",detail
51-9022,"Grinding and Polishing Workers, Hand",51,"29,250",detail
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",51,"35,200",detail
51-9030,Cutting Workers,51,"31,230",detail
51-9031,"Cutters and Trimmers, Hand",51,"26,650",detail
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",51,"32,340",detail
51-9040,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51,"32,880",detail
51-9050,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51,"37,080",detail
51-9060,"Inspectors, Testers, Sorters, Samplers, and Weighers",51,"37,240",detail
51-9070,Jewelers and Precious Stone and Metal Workers,51,"38,840",detail
51-9080,"Medical, Dental, and Ophthalmic Laboratory Technicians",51,"35,600",detail
51-9081,Dental Laboratory Technicians,51,"39,320",detail
51-9082,Medical Appliance Technicians,51,"38,200",detail
51-9083,Ophthalmic Laboratory Technicians,51,"29,850",detail
51-9110,Packaging and Filling Machine Operators and Tenders,51,"28,160",detail
51-9120,Painting Workers,51,"35,380",detail
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51,"31,870",detail
51-9122,"Painters, Transportation Equipment",51,"43,600",detail
51-9123,"Painting, Coating, and Decorating Workers",51,"29,270",detail
51-9140,Semiconductor Processors,51,"34,780",detail
51-9150,Photographic Process Workers and Processing Machine Operators,51,"26,140",detail
51-9151,Photographic Process Workers and Processing Machine Operators,51,"26,140",detail
51-9190,Miscellaneous Production Workers,51,"28,270",detail
51-9191,Adhesive Bonding Machine Operators and Tenders,51,"31,780",detail
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51,"28,280",detail
51-9193,Cooling and Freezing Equipment Operators and Tenders,51,"30,020",detail
51-9194,Etchers and Engravers,51,"30,230",detail
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",51,"30,770",detail
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",51,"35,660",detail
51-9197,Tire Builders,51,"39,340",detail
51-9198,Helpers--Production Workers,51,"24,620",detail
51-9199,"Production Workers, All Other",51,"30,380",detail
53-0000,Transportation and Material Moving Occupations,53,"33,590",major
53-1000,Supervisors of Transportation and Material Moving Workers,53,"51,620",detail
53-1010,Aircraft Cargo Handling Supervisors,53,"50,830",detail
53-1020,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53,"47,180",detail
53-1030,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53,"55,430",detail
53-2000,Air Transportation Workers,53,"83,340",detail
53-2010,Aircraft Pilots and Flight Engineers,53,"111,960",detail
53-2011,"Airline Pilots, Copilots, and Flight Engineers",53,"128,760",detail
53-2012,Commercial Pilots,53,"80,140",detail
53-2020,Air Traffic Controllers and Airfield Operations Specialists,53,"102,670",detail
53-2021,Air Traffic Controllers,53,"118,430",detail
53-2022,Airfield Operations Specialists,53,"50,270",detail
53-2030,Flight Attendants,53,"42,340",detail
53-3000,Motor Vehicle Operators,53,"35,090",detail
53-3010,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53,"24,900",detail
53-3020,Bus Drivers,53,"31,480",detail
53-3021,"Bus Drivers, Transit and Intercity",53,"38,470",detail
53-3022,"Bus Drivers, School or Special Client",53,"29,150",detail
53-3030,Driver/Sales Workers and Truck Drivers,53,"36,710",detail
53-3031,Driver/Sales Workers,53,"27,730",detail
53-3032,Heavy and Tractor-Trailer Truck Drivers,53,"40,360",detail
53-3033,Light Truck or Delivery Services Drivers,53,"33,940",detail
53-3040,Taxi Drivers and Chauffeurs,53,"25,140",detail
