series_id,year,period,value
JTU51009900HIL   ,2011,M04,128
JTU51009900HIL   ,2011,M05,170
JTU51009900HIL   ,2011,M06,189
JTU51009900HIL   ,2011,M07,173
JTU51009900HIL   ,2011,M08,168
JTU51009900HIL   ,2011,M09,145
JTU51009900HIL   ,2011,M10,181
JTU51009900HIL   ,2011,M11,147
JTU51009900HIL   ,2011,M12,127
JTU51009900HIL   ,2011,M13,1852
JTU51009900HIL   ,2012,M01,168
JTU51009900HIL   ,2012,M02,129
JTU51009900HIL   ,2012,M03,159
JTU51009900HIL   ,2012,M04,186
JTU51009900HIL   ,2012,M05,204
JTU51009900HIL   ,2012,M06,214
JTU51009900HIL   ,2012,M07,185
JTU51009900HIL   ,2012,M08,198
JTU51009900HIL   ,2012,M09,185
JTU51009900HIL   ,2012,M10,207
JTU51009900HIL   ,2012,M11,178
JTU51009900HIL   ,2012,M12,130
JTU51009900HIL   ,2012,M13,2143
JTU51009900HIL   ,2013,M01,203
JTU51009900HIL   ,2013,M02,159
JTU52000000HIL   ,2010,M01,122
JTU52000000HIL   ,2010,M02,81
JTU52000000HIL   ,2010,M03,88
JTU52000000HIL   ,2010,M04,122
JTU52000000HIL   ,2010,M05,122
JTU52000000HIL   ,2010,M06,147
JTU52000000HIL   ,2010,M07,124
JTU52000000HIL   ,2010,M08,98
JTU52000000HIL   ,2010,M09,115
JTU52000000HIL   ,2010,M10,139
JTU52000000HIL   ,2010,M11,88
JTU52000000HIL   ,2010,M12,86
JTU52000000HIL   ,2010,M13,1332
JTU52000000HIL   ,2011,M01,107
JTU52000000HIL   ,2011,M02,74
JTU52000000HIL   ,2011,M03,86
JTU52000000HIL   ,2011,M04,76
JTU52000000HIL   ,2011,M05,117
JTU52000000HIL   ,2011,M06,113
JTU52000000HIL   ,2011,M07,122
JTU52000000HIL   ,2011,M08,94
JTU52000000HIL   ,2011,M09,97
JTU52000000HIL   ,2011,M10,101
JTU52000000HIL   ,2011,M11,101
JTU52000000HIL   ,2011,M12,92
JTU52000000HIL   ,2011,M13,1180
JTU52000000HIL   ,2012,M01,119
JTU52000000HIL   ,2012,M02,83
JTU52000000HIL   ,2012,M03,105
JTU52000000HIL   ,2012,M04,119
JTU52000000HIL   ,2012,M05,136
JTU52000000HIL   ,2012,M06,137
JTU52000000HIL   ,2012,M07,119
JTU52000000HIL   ,2012,M08,126
JTU52000000HIL   ,2012,M09,116
JTU52000000HIL   ,2012,M10,143
JTU52000000HIL   ,2012,M11,124
JTU52000000HIL   ,2012,M12,75
JTU52000000HIL   ,2012,M13,1402
JTU52000000HIL   ,2013,M01,141
JTU52000000HIL   ,2013,M02,104
JTU54009900HIL   ,2010,M01,832
JTU54009900HIL   ,2010,M02,677
JTU54009900HIL   ,2010,M03,712
JTU54009900HIL   ,2010,M04,866
JTU54009900HIL   ,2010,M05,825
JTU54009900HIL   ,2010,M06,903
JTU54009900HIL   ,2010,M07,826
JTU54009900HIL   ,2010,M08,764
JTU54009900HIL   ,2010,M09,704
JTU54009900HIL   ,2010,M10,808
JTU54009900HIL   ,2010,M11,732
JTU54009900HIL   ,2010,M12,672
JTU54009900HIL   ,2010,M13,9321
JTU54009900HIL   ,2011,M01,901
JTU54009900HIL   ,2011,M02,765
JTU54009900HIL   ,2011,M03,842
JTU54009900HIL   ,2011,M04,927
JTU54009900HIL   ,2011,M05,950
JTU54009900HIL   ,2011,M06,869
JTU54009900HIL   ,2011,M07,862
JTU54009900HIL   ,2011,M08,905
JTU54009900HIL   ,2011,M09,838
JTU54009900HIL   ,2011,M10,909
JTU54009900HIL   ,2011,M11,779
JTU54009900HIL   ,2011,M12,634
JTU54009900HIL   ,2011,M13,10181
JTU54009900HIL   ,2012,M01,863
JTU54009900HIL   ,2012,M02,906
JTU54009900HIL   ,2012,M03,853
JTU54009900HIL   ,2012,M04,953
JTU54009900HIL   ,2012,M05,1068
JTU54009900HIL   ,2012,M06,1023
JTU54009900HIL   ,2012,M07,861
JTU54009900HIL   ,2012,M08,918
JTU54009900HIL   ,2012,M09,806
JTU54009900HIL   ,2012,M10,899
JTU54009900HIL   ,2012,M11,836
JTU54009900HIL   ,2012,M12,596
JTU54009900HIL   ,2012,M13,10582
JTU54009900HIL   ,2013,M01,968
JTU54009900HIL   ,2013,M02,782
