id,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
10012,sloweatermvp,Fri  01 Mar 2013 21:16:31 +0000,Twitter for iPhone,0,@Android_Tuning   #Preciate_The_Follow,5997,34569,95,6560,iOS,Android
10013,MyLifeAsJeMS,Fri  01 Mar 2013 21:16:32 +0000,Twitter for iPhone,0,@GeezytaughtHer_ @_rudeboi101 the freedom of the android life is missed by me lol ????,104,11574,4,72,iOS,Android
10015,LyleReasoner,Fri  01 Mar 2013 21:17:01 +0000,Twitter for iPhone,0,@Gatsby4815 I used to have an android and I converted,190,3759,1,213,iOS,Android
10026,porkchophamwich,Fri  01 Mar 2013 21:19:27 +0000,Twitter for iPhone,0,@Irukanji_Cookie that link might help. I think I used to be able to do it from my old android phone.,36,873,1,91,iOS,Android
10028,ATripToLONDON,Fri  01 Mar 2013 21:19:40 +0000,Twitter for iPhone,0,Guess Ill Be Trapping off this Android Til Monday,1057,14742,0,879,iOS,Android
10037,JhonDique,Fri  01 Mar 2013 21:28:20 +0000,Twitter for iPhone,0,I remember when I had an Android,352,19176,0,301,iOS,Android
10038,datniggamickel,Fri  01 Mar 2013 21:28:26 +0000,Twitter for iPhone,0,@PrettyPreshay u got a android dnt u ...,534,5044,0,758,iOS,Android
10043,h_o_d_g_e100,Fri  01 Mar 2013 21:29:08 +0000,Twitter for iPhone,0,Back to a damn android ????,468,37821,0,343,iOS,Android
10054,RachelCarey15,Fri  01 Mar 2013 21:31:17 +0000,Twitter for iPhone,0,@camkeyes I thought you couldn't cause you had an android ????,673,1647,0,659,iOS,Android
10081,lordkenobi,Fri  01 Mar 2013 21:35:02 +0000,Twitter for iPhone,0,@4eyedballer krillen is nice! I forgot he had a girlfriend before android 18,75,2351,0,75,iOS,Android
10088,Poisontattoo94,Fri  01 Mar 2013 21:36:41 +0000,Twitter for iPhone,0,@wood197302 not bad I'm only getting bout 3 on ee so pretty bad that's why I'm looking to switch and go android,288,1707,1,1106,iOS,Android
10092,StNick_212,Fri  01 Mar 2013 21:37:41 +0000,Twitter for iPhone,0,@beynd_beauTful android... #Fail,50,1562,0,83,iOS,Android
10099,BlaqBecki,Fri  01 Mar 2013 21:38:35 +0000,Twitter for iPhone,0,?€?@sneakersapp: Hey #sneakerheads if you are on Android download our App now http://t.co/PlL9lAVMeq and let's talk and share! @jordan22501,328,2358,0,877,iOS,Android
10105,T_RAWW95,Fri  01 Mar 2013 21:39:38 +0000,Twitter for iPhone,0,@ihadatweetsome I don't think I could handle another android!,1816,20834,1,633,iOS,Android
10109,hatercopter,Fri  01 Mar 2013 21:40:33 +0000,Twitter for iPhone,0,@gwvatieri You think android users are more averse to Facebook?,677,4736,35,938,iOS,Android
10143,RockerKillz,Fri  01 Mar 2013 21:46:54 +0000,Twitter for iPhone,0,@TREEKASS i change it mine is a android now,1183,59004,1,995,iOS,Android
10145,Joey_NVJO,Fri  01 Mar 2013 21:47:09 +0000,Twitter for iPhone,0,I got a job dressed up like a android on Campbell drive everyone ride by and throw tomatoes at me,253,10446,0,188,iOS,Android
