X,date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
1564,Fri  01 Mar 2013 20:25:32 +0000,21,91,0,u,0,Fingerpaint Magic on iOS,iOS,138,iOS,rachie10001,I made this with......Drum role please :3 Fingerpaint Magic iOS app x http://t.co/xCJi2cc3tr
1565,Fri  01 Mar 2013 21:29:19 +0000,174,230,0,u,0,Fingerpaint Magic on iOS,iOS,2261,iOS,RikStemkens,Made with Fingerpaint Magic iOS app. http://t.co/0PUOJ87HrO
1915,Fri  01 Mar 2013 22:13:30 +0000,1922,1434,55,u,0,Google Currents on iOS,iOS,84621,iOS,Alexandre_Pinto,Cult of Mac: Archive  Batch Send  And Download Your Instagram Photos With Recygram [iOS Tips] http://t.co/u0e0jI9WZn
1916,Fri  01 Mar 2013 22:19:02 +0000,1922,1434,55,u,0,Google Currents on iOS,iOS,84622,iOS,Alexandre_Pinto,Cult of Mac: Evernote 5.2 For iOS Crashes On Startup  But There?s A Fix [PSA] http://t.co/nU4NoHtCok
2326,Fri  01 Mar 2013 19:13:20 +0000,1,5,0,u,0,Heal Me! on iOS,iOS,5,iOS,faouzialalaoui,Get Heal Me! free on #iOS! https://t.co/XwvfmFfW8e Check out my latest #HealMe masterpiece! http://t.co/QKx3HrfzGB
2327,Fri  01 Mar 2013 19:17:45 +0000,1,5,0,u,0,Heal Me! on iOS,iOS,6,iOS,faouzialalaoui,Get Heal Me! free on #iOS! https://t.co/XwvfmFfW8e Check out my latest #HealMe masterpiece! http://t.co/k9LcYz9ZRL
2328,Fri  01 Mar 2013 22:12:34 +0000,5,7,0,u,0,Heal Me! on iOS,iOS,90,iOS,sophiehaw24,Get Heal Me! free on #iOS! https://t.co/aYA7HRQLU6 Check out my latest #HealMe masterpiece! http://t.co/ubEV57tQKw
2329,Fri  01 Mar 2013 22:13:00 +0000,5,7,0,u,0,Heal Me! on iOS,iOS,91,iOS,sophiehaw24,Get Heal Me! free on #iOS! https://t.co/aYA7HRQLU6 Check out my latest #HealMe masterpiece! http://t.co/hoTCeCDacz
2657,Fri  01 Mar 2013 20:54:14 +0000,38,190,1,u,0,iClarified on iOS,iOS,2378,iOS,iSamehSamir,#Disney Releases New #ToyStory : Smash It! Game for #iOS http://t.co/s4MN7Hi5aV
2895,Fri  01 Mar 2013 21:41:02 +0000,84,49,3,u,0,imgurApp on iOS,iOS,713,iOS,Shadow580,Check out this image from imgur!...only in japan...
