date,followers,friends,id,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 21:32:11 +0000,226,527,6191,8,positive,0,Tweetbot for iOS,iOS,8076,Android,AtomicPlayb0y,@DylanReeve @nzben @freitasm @billbennettnz RIM and android may as well be dead to business.
Fri  01 Mar 2013 21:45:37 +0000,993,129,6199,12,neutral,0,Tweetbot for iOS,iOS,20815,Android,TwiPony,@vanillaooc android?
Fri  01 Mar 2013 22:23:43 +0000,1234,496,6219,78,neutral,0,Tweetbot for iOS,iOS,14709,Android,nachimir,@missdoda @Pyroka: @rossaluss sailed up to 27s on first go at hyper hexagonest on my ithing  after switching from android.
Fri  01 Mar 2013 22:57:13 +0000,118,154,6234,3,negative,0,Tweetbot for iOS,iOS,11057,Android,TheRealBigMark,S4 gone have Android 4.3 and S3 gone be stuck on 4.1 lmaoooooo
Fri  01 Mar 2013 22:58:35 +0000,118,154,6235,3,neutral,0,Tweetbot for iOS,iOS,11058,Android,TheRealBigMark,Best manufacturer of Android phones based off  OS upgrade support is HTC
Fri  01 Mar 2013 23:06:41 +0000,800,312,6241,32,positive,0,Tweetbot for iOS,iOS,50237,Android,emslj,@ollyk81 Congratulations  that has joined @lottiens? cow battery life indicator as the only things to ever make me wish I had an Android.
Fri  01 Mar 2013 23:16:47 +0000,202,192,6249,15,neutral,0,Tweetbot for iOS,iOS,6549,Android,SpeckK,@elforesto @fruhwirth I pay ~$25 a month for an Android phone as long as I don't use much data https://t.co/QwLWBKKvrZ
Fri  01 Mar 2013 23:20:23 +0000,712,396,6256,57,neutral,0,Tweetbot for iOS,iOS,73600,Android,OohCrystal,@SincerelyDavis I hate the android operating software so mehhhhhh
Fri  01 Mar 2013 23:33:45 +0000,343,535,6264,7,neutral,0,Tweetbot for iOS,iOS,2279,Android,SessionBlogger,@bomaya Great choices. My Top 3 would have been 1. Paranoid Android  2. Let Down  3. Reckoner.
Fri  01 Mar 2013 20:35:15 +0000,78,169,6428,2,neutral,0,TweetCaster for iOS,iOS,1316,Android,ouijella,I need an android tablet!
Fri  01 Mar 2013 22:00:00 +0000,2504,213,6431,4,negative,0,TweetCaster for iOS,iOS,35732,Android,DistrictGalaxxy,@BassHeadMiguel shush up. Speaking that nonsense! Possessed by the android demons &amp; shit. Ahah
Fri  01 Mar 2013 22:16:10 +0000,288,301,6432,10,neutral,0,TweetCaster for iOS,iOS,21869,Android,JasinIsTrouble,Lol not for another 2 yrs grl RT @INYRMOUTH87: @JasinIsTrouble girl come back to android
Fri  01 Mar 2013 22:21:52 +0000,1374,996,6433,9,positive,0,TweetCaster for iOS,iOS,59097,Android,LouDaddie_RDC,@leila_mob lmaoo I was playin that shit is long gone... It was back in my Android days
Fri  01 Mar 2013 22:24:40 +0000,1374,996,6434,9,positive,0,TweetCaster for iOS,iOS,59100,Android,LouDaddie_RDC,@leila_mob it means that my android phone saved it.. Like I said its in a dumpster somewhere gurl your body ain't that vicious
Fri  01 Mar 2013 22:51:05 +0000,346,303,6435,3,negative,0,TweetCaster for iOS,iOS,27877,Android,ReadEm_ndWeep,Sorry android users all my tweets gonna have and emoji from now on #Team????
Fri  01 Mar 2013 23:29:18 +0000,286,284,6437,0,neutral,0,TweetCaster for iOS,iOS,6263,Android,MaddDoggMiller,@LateCold the android version is coming out soon. It's totally worth the download.
Fri  01 Mar 2013 22:39:00 +0000,213,158,6781,3,neutral,0,Tweetings for  iPhone,iOS,48579,Android,Brol1kTheGreat,@MrViZZiATO is it dropping for AT&amp;T? I'm actually looking for an android phone nexus or htc one X to toy with.
Fri  01 Mar 2013 22:54:03 +0000,1181,202,6782,30,neutral,0,Tweetings for  iPhone,iOS,15473,Android,codedit,@DojiSaber I don't know  I'm not an android developer... Ask on an android development forum.
